artist;date;title;venue;city;link
Super Flu;2026-10-17;Ritter Butzke X Herz&Seele;Fridas Pier;Stuttgart;https://ra.co/events/2439416
Super Flu;2026-10-23;Ritter Butzke & Casa ADE Cruise;Supperclub Cruise;Amsterdam;https://ra.co/events/2426450
Super Flu;2026-10-24;Ritter Butzke in Frankfurt (Main);Tanzhaus West;Frankfurt;https://ra.co/events/2428400
Serafina;2026-06-13;Waves Open Air 2026;Spaßbad Wedemark;Hannover;https://ra.co/events/2337646
Serafina;2026-06-18;OUTPUT OFF BCN 2026;Bosc Tancat / Diverbosc;Barcelona;https://ra.co/events/2453633
Serafina;2026-06-19;FACE 2 FACE BARCELONA: Serafina All Night Long - OFFBCN 26;Bosc Tancat / Diverbosc;Barcelona;https://ra.co/events/2319952
Serafina;2026-06-30;Joseph Capriati presents Metamorfosi Opening Party;Amnesia Ibiza;Ibiza;https://ra.co/events/2359520
Serafina;2026-07-10;Awakenings Festival 2026;Beekse Bergen;All;https://ra.co/events/2312934
Serafina;2026-07-12;VERKNIPT Croatia - Holiday Festival;Zrce Beach;All;https://ra.co/events/2303501
Serafina;2026-07-17;PAROOKAVILLE;Airport Weeze;North Rhine-Westphalia;https://ra.co/events/2329705
Serafina;2026-07-21;Joseph Capriati presents Metamorfosi;Amnesia Ibiza;Ibiza;https://ra.co/events/2359523
Serafina;2026-08-02;999999999, Somewhen, Serafina, CALLUSH;Hafen 49;Mannheim;https://ra.co/events/2441249
Serafina;2026-08-12;Glitch Festival 2026;Gianpula Village;All;https://ra.co/events/2329592
Serafina;2026-08-18;Joseph Capriati presents Metamorfosi;Amnesia Ibiza;Ibiza;https://ra.co/events/2359528
Serafina;2026-08-28;NIBIRII Festival 2026;Dürener Badesee;Cologne;https://ra.co/events/2408194
Serafina;2026-09-04;ARC Music Festival 2026;Union Park;Chicago;https://ra.co/events/2390938
Serafina;2026-09-05;AGAPĒ FESTIVAL;Industry City;New York City;https://ra.co/events/2427523
Serafina;2026-09-24;240KMH F2F Melbourne;Pica (Port Melbourne Industrial Centre for the Arts);Melbourne;https://ra.co/events/2430142
Serafina;2026-09-24;FACE 2 FACE: MELBOURNE;Pica (Port Melbourne Industrial Centre for the Arts);Melbourne;https://ra.co/events/2445692
Serafina;2026-12-05;AGAPĒ PRESENTS: Serafina - ALL NIGHT LONG;TBA - BROOKLYN NY;New York City;https://ra.co/events/2384560
Len Faki;2026-06-13;OURS OPEN AIR with Ellen Allien, Elli Acula, Gregor Tresher, Len Faki;Sparta Schwimmclub;Frankfurt;https://ra.co/events/2408179
Len Faki;2026-07-10;Audioriver 2026;Błonia Łódzkie;Lodz;https://ra.co/events/2264774
Len Faki;2026-07-16;Terminal V Croatia 2026;The Garden Tisno;All;https://ra.co/events/2325662
Len Faki;2026-07-19;Cocoon Amnesia Ibiza;Amnesia Ibiza;Ibiza;https://ra.co/events/2361290
Len Faki;2026-08-08;Else 13th Birthday Weekender: 40 hours nonstop;Else;Berlin;https://ra.co/events/2372751
Len Faki;2026-08-08;Choke Street Parade Afterparty;EXIL;Zurich;https://ra.co/events/2433765
Len Faki;2026-09-11;Voodoo Village 2026;TBA;Brussels;https://ra.co/events/2316185
Len Faki;2026-09-19;Phonox: Len Faki + Alba Heidari;Phonox;London;https://ra.co/events/2460158
Colin Benders;2026-06-17;DAAD Gathering 2026;Dádpuszta;All;https://ra.co/events/2297652
Colin Benders;2026-06-19;Dancity Festival 2026 - 20th Anniversary;Auditorium San Domenico;Central;https://ra.co/events/2377556
Colin Benders;2026-06-26;Hiss & Hertz w/ Colin Benders live, Akua, Estella Boersma & Stephanie Sykes;RSO.BERLIN;Berlin;https://ra.co/events/2440911
Colin Benders;2026-07-10;Stone Techno Festival 2026;Zeche Zollverein;Dortmund / Essen;https://ra.co/events/2244322
Colin Benders;2026-07-24;CLOSER Festival 2026;Bilo Polje, Livno;All;https://ra.co/events/2446534
Colin Benders;2026-07-29;Dekmantel Festival 2026;Amsterdamse Bos;Amsterdam;https://ra.co/events/2351984
Colin Benders;2026-08-01;Dekmantel Festival 2026 - Saturday;Amsterdamse Bos;Amsterdam;https://ra.co/events/2458162
Colin Benders;2026-08-14;XRDS festival 2026;Parc des Etangs/Vijverspark;Brussels;https://ra.co/events/2350920
Colin Benders;2026-08-29;Cluster Festival;Kabelfabriek;The Hague;https://ra.co/events/2380229
Colin Benders;2026-10-17;Supersanity invites Colin Benders;TBA - Secret Venue, Bucharest;Bucharest;https://ra.co/events/2401620
Beste Hira;2026-06-12;Club Vaag invites FENIM0RE & Beste Hira;Club Vaag;Antwerp;https://ra.co/events/2457970
Beste Hira;2026-06-13;Klubnacht;Berghain | Panorama Bar | Säule;Berlin;https://ra.co/events/2436489
Beste Hira;2026-06-20;Coma x SMUT w Stef Mendesidis live, Beste Hira, JERM;SMUT Athens;Athens;https://ra.co/events/2433761
Beste Hira;2026-06-27;Selectronic 8.0;Frankhan Selectist;Istanbul;https://ra.co/events/2429130
Beste Hira;2026-07-03;GABONSA Festival 2026;TBA - Golf Driving Ranch;All;https://ra.co/events/2417850
Beste Hira;2026-07-10;CROW with Kwartz + Beste Hira + Joton + SAINT SINNER;LAB theCLUB;Madrid;https://ra.co/events/2453385
Beste Hira;2026-07-17;WHOLE Festival 2026;Ferropolis;Leipzig;https://ra.co/events/2395156
Beste Hira;2026-07-18;Klubnacht;Berghain | Panorama Bar | Säule;Berlin;https://ra.co/events/2449871
Beste Hira;2026-07-31;Dekmantel Festival 2026 - Friday;Amsterdamse Bos;Amsterdam;https://ra.co/events/2444343
Beste Hira;2026-08-04;Summer Contrast Festival 2026;Summer Contrast Festival;All;https://ra.co/events/2348864
Beste Hira;2026-08-07;FOLD presents KEY VINYL (EXTENDED);FOLD;London;https://ra.co/events/2460456
Beste Hira;2026-10-03;GROOVE RUINE;Gotec;Karlsruhe;https://ra.co/events/2408247
Dom Dolla;2026-06-12;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367792
Dom Dolla;2026-06-18;Sónar 2026;Fira Gran Via;Barcelona;https://ra.co/events/2309886
Dom Dolla;2026-06-19;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367797
Dom Dolla;2026-06-26;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367799
Dom Dolla;2026-07-02;Fvded in the Park 2026 Discount code 'HUGS';Holland Park;Vancouver;https://ra.co/events/2403924
Dom Dolla;2026-07-03;FVDED In The Park 2026 - Promo Code 'RAVEFAM';Holland Park;Vancouver;https://ra.co/events/2403927
Dom Dolla;2026-07-03;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367800
Dom Dolla;2026-07-10;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367802
Dom Dolla;2026-07-17;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367803
Dom Dolla;2026-07-24;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367826
Dom Dolla;2026-07-31;Dom Dolla - Radio 1 Dance X Afterparty;Hï Ibiza;Ibiza;https://ra.co/events/2367830
Dom Dolla;2026-08-01;Dom Dolla on the Thames;Old Royal Naval College;London;https://ra.co/events/2353104
Dom Dolla;2026-08-07;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367832
Dom Dolla;2026-08-11;Sziget Festival 2026;Obudai Island;Budapest;https://ra.co/events/2322876
Dom Dolla;2026-08-14;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367833
Dom Dolla;2026-08-21;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367835
Dom Dolla;2026-08-28;Dom Dolla;Hï Ibiza;Ibiza;https://ra.co/events/2367837
Dom Dolla;2026-12-18;EDC Thailand 2026;TBA - Rhythm Park;All;https://ra.co/events/2466189
Moodymann;2026-06-12;Beyond The Pale;Glendalough Estate;Dublin;https://ra.co/events/2301801
Moodymann;2026-06-12;Beyond The Pale Festival - Subject presents Moodymann, Ben Klock, Miss Kittin & Sunil Sharpe;Glendalough House;All;https://ra.co/events/2449038
